due,created,title,updated,status
2022-07-14T02:00:00Z,2022-07-13T21:49:12.050159Z,决定怎么学CNN,2022-07-14T19:28:31.412511Z,completed
2022-07-03T01:00:00Z,2022-06-24T22:46:16.172750Z,国内购衣服,2022-07-06T02:07:36.076607Z,completed
2022-07-03T00:15:00Z,2022-07-02T06:24:27.651479Z,写CNN Proposal,2022-07-04T18:38:12.163055Z,completed
2022-07-02T15:00:00Z,2022-07-02T06:24:24.425181Z,AT&T打电话,2022-07-02T21:34:46.644735Z,completed
2022-06-05T05:00:00Z,2022-04-15T01:44:22.783908Z,Tax Form,2022-06-19T19:17:44.489055Z,completed
2022-05-31T17:00:00Z,2022-05-05T00:47:28.060960Z,CRWR Final Project,2022-06-01T21:14:46.720735Z,completed
2022-06-01T05:00:00Z,2022-05-17T03:22:55.201192Z,CS P4 Shell,2022-06-01T21:14:43.823791Z,completed
2022-05-27T05:00:00Z,2022-05-19T04:18:26.867668Z,MATH 163 EC,2022-05-27T17:15:27.128719Z,completed
2022-05-26T05:00:00Z,2022-05-17T03:22:30.196555Z,CS Final (lec12-20),2022-05-27T16:57:28.493951Z,completed
2022-05-25T17:00:00Z,2022-05-20T18:37:55.661896Z,CRWR Event Review,2022-05-26T06:56:51.867039Z,completed
2022-05-25T05:00:00Z,2022-04-10T02:13:31.092260Z,CRWR Presentation,2022-05-26T00:43:22.302239Z,completed
2022-05-25T04:30:00Z,2022-05-17T03:23:29.259408Z,CS HW8,2022-05-26T00:43:20.486991Z,completed
2022-05-23T05:00:00Z,2022-05-07T05:00:07.019713Z,Hess HW,2022-05-24T04:41:30.338303Z,completed
2022-05-22T05:00:00Z,2022-04-11T18:20:32.475262Z,Pan HW,2022-05-24T04:41:28.440543Z,completed
2022-05-18T05:00:00Z,2022-05-17T05:31:14.298492Z,洗衣服,2022-05-20T18:37:52.310623Z,completed
2022-05-18T17:00:00Z,2022-04-02T03:57:45.217010Z,CRWR Comments,2022-05-19T03:20:27.001311Z,completed
2022-05-18T05:00:00Z,2022-05-17T03:45:19.794044Z,CRWR HW Portrait,2022-05-19T03:20:25.998447Z,completed
2022-05-17T05:00:00Z,2022-05-17T05:33:42.799093Z,开始写potrait,2022-05-19T03:20:18.631647Z,completed
2022-05-17T17:00:00Z,2022-05-07T04:57:09.945555Z,CRWR Posts,2022-05-18T00:05:24.449711Z,completed
2022-05-16T05:00:00Z,2022-05-12T02:42:25.784913Z,CS HW7,2022-05-17T03:20:33.331087Z,completed
2022-05-16T05:00:00Z,2022-05-07T04:58:15.867092Z,CS P3 Cache,2022-05-16T21:47:47.824175Z,completed
2022-05-11T17:00:00Z,2022-05-07T04:57:17.542850Z,CRWR Writing,2022-05-11T17:20:54.786447Z,completed
2022-05-09T05:00:00Z,2022-04-30T23:15:43.034351Z,CS HW6,2022-05-10T05:08:53.239855Z,completed
2022-05-07T05:00:00Z,2022-05-07T04:57:37.435235Z,CS lec14,2022-05-09T17:05:44.996639Z,completed
2022-05-05T05:00:00Z,2022-04-18T00:18:04.337169Z,MATH16300 Midterm,2022-05-07T03:04:13.092671Z,completed
2022-05-04T05:00:00Z,2022-04-10T02:12:54.212837Z,CRWR Workshop,2022-05-05T00:46:50.788895Z,completed
2022-05-02T17:00:00Z,2022-04-30T23:13:19.954486Z,CRWR WorldBuilding,2022-05-05T00:46:48.001167Z,completed
2022-05-03T04:30:00Z,2022-04-30T23:13:53.509009Z,CS HW5,2022-05-03T05:03:20.160607Z,completed
2022-05-02T05:00:00Z,2022-03-28T15:58:21.092168Z,CS Project2 ,2022-04-30T23:13:57.026431Z,completed
2022-04-28T05:00:00Z,2022-03-29T17:37:20.926366Z,Hess Midterm,2022-04-27T00:10:36.171503Z,completed
2022-04-22T04:30:00Z,2022-04-18T00:18:49.455315Z,CRWR Prompt,2022-04-27T00:10:10.033935Z,completed
2022-04-21T17:00:00Z,2022-04-18T00:19:00.520523Z,CRWR 5 Ambitions ,2022-04-27T00:10:09.149103Z,completed
2022-04-20T05:00:00Z,2022-04-18T00:23:51.333040Z,CS Textbook 3.3-3.6,2022-04-27T00:10:08.297663Z,completed
2022-04-20T05:00:00Z,2022-04-18T00:24:21.352494Z,CS lec06-09,2022-04-27T00:10:07.490383Z,completed
2022-04-17T05:00:00Z,2022-04-18T00:24:55.296339Z,MATH163 ch24,2022-04-19T03:24:26.128095Z,completed
2022-04-18T05:00:00Z,2022-03-28T15:59:43.484364Z,CS HW3,2022-04-18T00:18:25.658927Z,completed
2022-04-15T05:00:00Z,2022-04-15T01:44:35.946411Z,Application,2022-04-18T00:18:03.020719Z,completed
2022-04-13T05:00:00Z,2022-03-28T15:57:16.258497Z,CS Project1 Bit,2022-04-13T15:37:05.703647Z,completed
2022-04-11T05:00:00Z,2022-04-11T18:19:40.920208Z,Pan HW,2022-04-13T15:36:57.046575Z,completed
2022-04-11T05:00:00Z,2022-03-28T15:58:10.759081Z,CS HW2,2022-04-11T18:16:50.659167Z,completed
2022-04-04T05:00:00Z,2022-03-28T15:57:33.674678Z,CS HW1,2022-04-07T05:27:26.475343Z,completed
2022-03-27T05:00:00Z,2022-03-25T16:58:15.729571Z,W3S CSS,2022-03-28T15:57:15.054959Z,completed
2022-03-27T05:00:00Z,2022-03-25T16:58:09.146939Z,W3S JavaScript,2022-03-28T15:57:14.096095Z,completed
2022-03-27T05:00:00Z,2022-03-25T16:57:59.422426Z,W3S HTML,2022-03-28T15:57:12.953967Z,completed
2022-03-18T05:00:00Z,2022-03-07T06:50:31.275033Z,HUM Essay3,2022-03-25T16:57:58.246783Z,completed
2022-03-18T05:00:00Z,2022-03-13T03:27:35.654614Z, PHYS Final,2022-03-25T16:57:57.353919Z,completed
2022-03-15T05:00:00Z,2022-03-13T03:27:23.989868Z,MATH Final,2022-03-25T16:57:56.514655Z,completed
2022-03-12T05:00:00Z,2022-03-11T20:15:48.374388Z,PHYS HW,2022-03-13T03:27:21.800063Z,completed
2022-03-11T06:00:00Z,2022-03-07T06:50:46.403645Z,CS Final,2022-03-13T03:27:20.684879Z,completed
2022-03-08T21:30:00Z,2022-03-03T05:35:15.610397Z,PHYS Lab2 Lab3 Summary,2022-03-11T20:15:41.838255Z,completed
2022-03-09T06:00:00Z,2022-03-03T00:57:37.108111Z,CS HW4,2022-03-09T20:50:17.511423Z,completed
2022-03-06T06:00:00Z,2022-02-17T03:44:21.283010Z,Shoot Gun!,2022-03-07T06:50:30.890527Z,completed
2022-03-04T06:00:00Z,2022-02-16T01:35:29.542173Z,HUMA Essay 2,2022-03-07T06:50:25.635231Z,completed
2022-03-04T06:00:00Z,2022-02-28T22:22:08.623998Z,PHYS Midterm2,2022-03-07T06:50:24.833583Z,completed
2022-03-03T06:00:00Z,2022-03-03T05:34:34.665463Z,HUM 1st Draft,2022-03-07T06:50:22.269935Z,completed
2022-02-26T01:00:00Z,2022-02-17T03:43:54.559079Z,Broadway Show,2022-02-28T03:00:13.650703Z,completed
2022-02-25T06:00:00Z,2022-02-06T03:20:16.779258Z,MATH Midterm 2,2022-02-28T03:00:12.944687Z,completed
2022-02-23T06:00:00Z,2022-02-09T22:20:55.663356Z,PHYS Make-Up Lab,2022-02-24T05:38:25.583071Z,completed
2022-02-23T06:00:00Z,2022-02-16T01:32:25.927515Z,CS HW,2022-02-24T05:38:24.671407Z,completed
2022-02-21T06:00:00Z,2022-02-16T01:32:07.929381Z,PHYS HW,2022-02-24T05:38:21.839567Z,completed
2022-02-20T06:00:00Z,2022-02-16T01:32:35.904919Z,MATH HW,2022-02-24T05:38:19.654671Z,completed
2022-02-16T06:00:00Z,2022-02-16T01:31:52.498706Z,PHYS Lab Report1,2022-02-17T03:43:52.775839Z,completed
2022-02-11T06:00:00Z,2022-01-12T15:51:27.059148Z,PHYS Midterm 1,2022-02-16T01:31:42.475791Z,completed
2022-02-11T06:00:00Z,2022-01-14T03:48:00.066697Z,CMSC Midterm,2022-02-16T01:31:41.566879Z,completed
2022-02-04T06:00:00Z,2022-01-14T03:45:44.177542Z,HUMA Essay 1,2022-02-06T01:11:38.074479Z,completed
2022-02-04T06:00:00Z,2022-01-12T15:51:00.999145Z, MATH Midterm1,2022-02-06T01:11:36.937823Z,completed
2022-01-30T06:00:00Z,2022-01-24T19:40:21.670814Z,MATH HW2,2022-02-01T17:11:31.150959Z,completed
2022-01-28T06:00:00Z,2022-01-24T19:39:58.814314Z,PHYS HW2,2022-02-01T17:11:29.766175Z,completed
2022-01-28T06:00:00Z,2022-01-24T19:40:33.752105Z,CS HW1,2022-02-01T17:11:28.406975Z,completed
2022-01-11T17:15:00Z,2022-01-11T05:36:01.594708Z,Walker Covid Test,2022-01-12T15:50:59.185039Z,completed
2021-12-10T06:00:00Z,2021-12-02T17:10:03.987954Z,HUMA Essay 3 ,2022-01-04T01:20:50.971903Z,completed
2021-12-04T06:00:00Z,2021-12-02T17:10:27.104387Z,Essay Draft 1,2022-01-04T01:20:50.025791Z,completed
2021-12-03T20:55:00Z,2021-12-02T17:14:54.881945Z,COVID vaccine,2022-01-04T01:20:49.177487Z,completed
2021-12-03T06:00:00Z,2021-12-02T17:09:41.720460Z,PHYS Midterm 3,2022-01-04T01:20:48.157023Z,completed
2021-11-12T06:00:00Z,2021-10-13T23:43:44.382297Z,Phys Exam#2,2021-11-14T23:03:32.002767Z,completed
2021-11-12T06:00:00Z,2021-11-05T05:14:18.017375Z,Pre-reg,2021-11-14T23:03:30.501215Z,completed
2021-11-08T06:00:00Z,2021-11-05T05:14:49.972766Z,MATH Midterm2,2021-11-08T21:14:38.471071Z,completed
2021-10-27T22:00:00Z,2021-10-27T17:49:45.986005Z,Harper打车去53Chase+打疫苗,2021-11-03T19:48:20.231263Z,completed
2021-10-27T20:00:00Z,2021-10-25T18:34:18.113430Z,Phys Lab Reflection,2021-11-03T19:48:19.230399Z,completed
2021-10-27T05:00:00Z,2021-10-14T22:05:01.112766Z,CS Midterm,2021-11-03T19:48:17.836399Z,completed
2021-10-22T05:00:00Z,2021-10-13T23:43:17.246740Z,Phys Exam#1,2021-10-23T03:09:36.589887Z,completed
2021-10-22T05:00:00Z,2021-10-18T20:38:16.598872Z,HUMA Paper#1,2021-10-23T03:09:34.956479Z,completed
2021-10-22T04:30:00Z,2021-10-19T20:11:55.648478Z,MATH PSET3,2021-10-23T03:09:27.584639Z,completed
2021-10-20T02:45:00Z,2021-10-18T20:39:35.374497Z,Essay Draft1,2021-10-20T15:07:28.087263Z,completed
2021-10-20T04:00:00Z,2021-10-18T20:38:56.066368Z,CS A10,2021-10-20T15:07:26.354271Z,completed
2021-10-08T22:30:00Z,2021-10-05T19:16:36.407052Z,PHYS 131 Lab0,2021-10-18T20:37:57.243615Z,completed
2021-10-05T22:00:00Z,2021-10-01T01:57:39.534052Z,CS Lab1,2021-10-05T03:45:57.123615Z,completed
2021-10-04T05:00:00Z,2021-09-30T20:39:25.392983Z,Post HUM Discussion,2021-10-05T03:45:55.167343Z,completed
2021-10-04T05:00:00Z,2021-10-03T22:10:36.934579Z,"Plato Book2,3,7",2021-10-05T03:45:55.167343Z,completed
2021-10-03T17:00:00Z,2021-09-29T03:30:26.117113Z,RSO: Promontory App Due,2021-10-03T19:57:25.150895Z,completed
